# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.1 Build 166 11/26/2013 SJ Full Version
# File: E:\System_Design\test_run_library\testi\TUNI.fi\product\Kvazaar.IP-acc.Camera\1.0\cyclone_v_pins.csv
# Generated on: Fri Mar 11 14:20:25 2016

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Fitter Location,Direction,Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,I/O Bank,VREF Group,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage
CAMERA_D[11],PIN_H7,Input,PIN_H7,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[10],PIN_J7,Input,PIN_J7,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[9],PIN_G11,Input,PIN_G11,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[8],PIN_G12,Input,PIN_G12,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[7],PIN_K8,Input,PIN_K8,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[6],PIN_K7,Input,PIN_K7,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[5],PIN_J9,Input,PIN_J9,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[4],PIN_J10,Input,PIN_J10,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[3],PIN_J12,Input,PIN_J12,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[2],PIN_K12,Input,PIN_K12,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[1],PIN_G13,Input,PIN_G13,,,,,,8A,B8A_N0,,,,,,,,
CAMERA_D[0],PIN_H14,Input,PIN_H14,,,,,,8A,B8A_N0,,,,,,,,
